pred_class,p_orig,comprehensiveness,sufficiency,deletion_auc,n_words,k
0,0.9955586194992065,0.0016412138938903809,0.0060149431228637695,0.9042729735374451,8,2
0,0.9950907230377197,-0.0005983710289001465,0.010281145572662354,0.9049211740493774,6,1
0,0.9946042895317078,-0.0007863640785217285,0.0007135272026062012,0.904401957988739,13,3
0,0.9094691872596741,-0.08055806159973145,0.4677608609199524,0.8854602575302124,32,6
0,0.9960707426071167,0.0003190040588378906,0.0009161233901977539,0.9053413271903992,30,6
0,0.99524986743927,0.0018376708030700684,-0.0005671381950378418,0.9015236496925354,16,3
1,0.9767009615898132,0.9088160991668701,-0.012170910835266113,0.42688462138175964,16,3
0,0.9891700148582458,-0.0033493638038635254,-0.006097912788391113,0.9018110036849976,22,4
0,0.996019184589386,9.506940841674805e-05,0.020918965339660645,0.9053918719291687,11,2
0,0.9806898236274719,-0.005545616149902344,0.0009610652923583984,0.8909338116645813,10,2
0,0.9862775206565857,-0.008893370628356934,0.10194718837738037,0.9010609984397888,5,1
0,0.9416331052780151,-0.04771918058395386,0.10547745227813721,0.8919217586517334,48,10
1,0.9016551375389099,0.02388167381286621,0.894706130027771,0.5638204216957092,16,3
0,0.9956529140472412,-8.857250213623047e-05,0.008955180644989014,0.9051929116249084,6,1
0,0.9962798953056335,0.0005512237548828125,0.017853617668151855,0.9054014086723328,12,2
0,0.9951834082603455,-0.0004283785820007324,0.001210331916809082,0.9048805236816406,8,2
0,0.9951342940330505,0.0009265542030334473,-0.0010123848915100098,0.9029672741889954,19,4
0,0.9900665283203125,0.002958953380584717,0.0034577250480651855,0.8988928198814392,5,1
0,0.9318095445632935,-0.006773889064788818,-0.06203317642211914,0.8555326461791992,9,2
0,0.9865379333496094,0.0013006329536437988,-0.00850522518157959,0.8957300186157227,7,1
0,0.9792969822883606,-0.004774808883666992,-0.01596885919570923,0.8875158429145813,89,18
0,0.8755427002906799,-0.11532711982727051,-0.106143057346344,0.8536863923072815,6,1
1,0.9351264834403992,0.011108994483947754,0.8599969148635864,0.8393878936767578,11,2
0,0.9953757524490356,0.0005077123641967773,-0.00031065940856933594,0.9047237038612366,14,3
0,0.9951462149620056,0.0005263686180114746,0.0010918378829956055,0.9043948650360107,5,1
1,0.9351515769958496,-0.012280166149139404,0.9298814535140991,0.8572996258735657,5,1
0,0.9943469166755676,-0.0010892152786254883,-0.0005743503570556641,0.9050092697143555,83,17
1,0.7414644360542297,0.6850675344467163,-0.08897602558135986,0.24365319311618805,8,2
0,0.8605489730834961,0.4498184025287628,-0.13432520627975464,0.5118496417999268,10,2
0,0.9811350107192993,-0.00602114200592041,-0.014499008655548096,0.8892372250556946,11,2
0,0.986005425453186,-0.007134139537811279,0.10167509317398071,0.899818480014801,7,1
0,0.9960774779319763,0.0005475282669067383,0.00020515918731689453,0.9048895239830017,49,10
0,0.9912323355674744,-0.00103837251663208,-0.003750145435333252,0.901634931564331,9,2
0,0.9958167672157288,-0.0002193450927734375,0.0007748007774353027,0.9054269790649414,24,5
0,0.9886542558670044,0.004054605960845947,-0.003532886505126953,0.8961717486381531,5,1
0,0.852094829082489,-0.06578141450881958,-0.14046955108642578,0.8067031502723694,5,1
0,0.8149941563606262,-0.1559962034225464,-0.176643967628479,0.8180229067802429,7,1
0,0.5749258399009705,0.14352458715438843,-0.42011523246765137,0.46593648195266724,9,2
0,0.9957536458969116,0.00010859966278076172,0.0007801055908203125,0.9050338268280029,18,4
0,0.996127188205719,8.51750373840332e-05,0.0014421343803405762,0.9055233001708984,11,2
0,0.9961434006690979,2.09808349609375e-05,0.0019474625587463379,0.9055019021034241,37,7
0,0.9961466789245605,0.00021415948867797852,0.011337101459503174,0.9053735136985779,5,1
0,0.9946756362915039,-2.1219253540039062e-05,0.0075026750564575195,0.903977632522583,18,4
0,0.857958197593689,-0.1366007924079895,-0.0222051739692688,0.8966197371482849,23,5
0,0.9963254332542419,5.733966827392578e-05,0.0007079243659973145,0.9056665301322937,26,5
0,0.9950751662254333,0.0005524754524230957,0.005760610103607178,0.9043005108833313,7,1
0,0.9920805096626282,-0.002936840057373047,-0.0026621222496032715,0.9040465950965881,54,11
0,0.9894272685050964,0.04692506790161133,-0.0056961774826049805,0.8663350939750671,19,4
0,0.9957262277603149,0.0007535219192504883,0.006879329681396484,0.9048202037811279,5,1
0,0.996265709400177,0.00042188167572021484,0.0009315013885498047,0.9055014252662659,19,4
0,0.9946637153625488,0.0015138983726501465,0.0035742521286010742,0.9029232263565063,9,2
0,0.9924589991569519,-0.0013290643692016602,-0.002983987331390381,0.9038427472114563,19,4
0,0.9962474703788757,6.908178329467773e-05,0.0005706548690795898,0.9055191278457642,20,4
0,0.9959720969200134,7.081031799316406e-05,0.0026502609252929688,0.9054005146026611,6,1
0,0.9946866035461426,0.0006718039512634277,0.022358834743499756,0.9034870266914368,16,3
0,0.9961702227592468,0.0002117156982421875,0.007937908172607422,0.9054466485977173,9,2
0,0.8772773146629333,0.04191619157791138,-0.11744749546051025,0.7829417586326599,7,1
0,0.9947553873062134,0.0023232698440551758,-0.00014889240264892578,0.9032884836196899,7,1
0,0.9535208344459534,-0.00024837255477905273,-0.04032057523727417,0.8681735992431641,8,2
0,0.9961432814598083,0.0004235506057739258,0.0010887980461120605,0.9053375124931335,9,2
1,0.571887731552124,0.5252019166946411,0.5637272000312805,0.2696366012096405,10,2
0,0.9963940978050232,0.00012296438217163086,0.0012881159782409668,0.9056267142295837,10,2
1,0.5946183204650879,-0.1404302716255188,0.5889154076576233,0.5288527607917786,17,3
0,0.9955869913101196,-4.881620407104492e-05,0.005986928939819336,0.9051931500434875,17,3
0,0.9952333569526672,-0.00011664628982543945,0.013888537883758545,0.9047584533691406,6,1
0,0.9953827261924744,0.0009484291076660156,-0.00010395050048828125,0.9045432806015015,11,2
1,0.8628185987472534,0.1771068572998047,0.007235705852508545,0.6979780197143555,8,2
0,0.995487630367279,-0.00023800134658813477,0.00041103363037109375,0.9049455523490906,9,2
0,0.9925812482833862,0.009451210498809814,-0.00030231475830078125,0.897596538066864,5,1
0,0.9917184114456177,0.0015631914138793945,-0.0024182796478271484,0.9008749127388,15,3
0,0.9952125549316406,0.002626955509185791,0.0012134313583374023,0.9034895300865173,9,2
1,0.9877963066101074,0.015676677227020264,0.0008992552757263184,0.7616560459136963,18,4
0,0.6895420551300049,-0.08638960123062134,-0.30588674545288086,0.7356729507446289,8,2
0,0.9759178161621094,-0.013147473335266113,-0.018214404582977295,0.8953649997711182,13,3
0,0.9419043064117432,-0.021275997161865234,0.05150192975997925,0.8783712387084961,13,3
1,0.8465909361839294,0.2880373001098633,0.3281298279762268,0.633786141872406,10,2
0,0.983614444732666,0.03787356615066528,-0.011111676692962646,0.8678531050682068,11,2
0,0.9963696002960205,-2.2351741790771484e-05,0.000879824161529541,0.9057634472846985,26,5
0,0.9936435222625732,-0.0016537308692932129,-0.0016196966171264648,0.9034200310707092,60,12
0,0.996005117893219,0.0018380284309387207,0.001911163330078125,0.9045941829681396,6,1
1,0.575368344783783,-0.03670024871826172,0.5669773817062378,0.5137811899185181,6,1
0,0.9961711764335632,2.771615982055664e-05,0.002227187156677246,0.9055536389350891,15,3
0,0.9960766434669495,-0.00023317337036132812,0.04425680637359619,0.9054080843925476,30,6
0,0.9810483455657959,0.026743054389953613,-0.013110876083374023,0.8753694295883179,7,1
0,0.9956138134002686,0.0035956501960754395,0.0011633634567260742,0.8591430187225342,8,2
0,0.8815167546272278,0.07846909761428833,-0.11236327886581421,0.7887108325958252,9,2
0,0.9942618608474731,-0.00042700767517089844,0.003051280975341797,0.903996467590332,5,1
0,0.9960384368896484,0.002044498920440674,0.0016433000564575195,0.9045425057411194,5,1
0,0.994964599609375,-0.0003299117088317871,-0.0005016326904296875,0.9044368267059326,13,3
0,0.8329880833625793,-0.08578914403915405,-0.1484275460243225,0.808556318283081,8,2
0,0.9954953193664551,0.00020080804824829102,-0.0003676414489746094,0.9041594862937927,16,3
0,0.976668655872345,-0.017387092113494873,-0.012619316577911377,0.8966600894927979,5,1
0,0.9958779811859131,0.0001245737075805664,0.0019916892051696777,0.9053187966346741,15,3
0,0.9867190718650818,-0.006010890007019043,-0.007832884788513184,0.8992248177528381,11,2
0,0.9649477005004883,-0.023800134658813477,-0.025268077850341797,0.8939640522003174,46,9
0,0.9961413741111755,-2.8967857360839844e-05,0.010112285614013672,0.9056020379066467,7,1
1,0.5372627377510071,-0.03205662965774536,0.5322884917259216,0.5529260039329529,28,6
0,0.9959936141967773,8.380413055419922e-05,0.006300985813140869,0.9053966403007507,7,1
0,0.9898920059204102,-0.0035878419876098633,-0.0011191368103027344,0.9011650681495667,15,3
0,0.9954714775085449,0.0010645389556884766,0.0047740936279296875,0.9044728875160217,6,1
1,0.9800497889518738,-0.006863951683044434,0.9750210046768188,0.8962377309799194,69,14
1,0.9947150349617004,-0.0009850859642028809,0.9753248691558838,0.9047462344169617,5,1
1,0.9959083795547485,0.0012289881706237793,0.004884243011474609,0.9043010473251343,13,3
1,0.9959368705749512,3.9458274841308594e-05,0.9757362008094788,0.9053787589073181,7,1
1,0.9960267543792725,-8.434057235717773e-05,0.9874968528747559,0.9054832458496094,13,3
1,0.996313750743866,0.212260901927948,0.0008838772773742676,0.6650402545928955,10,2
1,0.9960907101631165,9.745359420776367e-05,0.9889572858810425,0.9054602980613708,6,1
1,0.9955854415893555,0.00015282630920410156,0.15790235996246338,0.9049767851829529,6,1
1,0.9961283206939697,-0.00012969970703125,0.9861637353897095,0.9055659770965576,10,2
1,0.9849456548690796,0.0038689374923706055,0.9784373641014099,0.8777281045913696,9,2
1,0.9954603314399719,0.00011491775512695312,0.9847482442855835,0.9043934345245361,6,1
1,0.995625376701355,-4.965066909790039e-05,0.9895262718200684,0.9042566418647766,6,1
1,0.9843137264251709,-0.0008045434951782227,0.971147894859314,0.895165205001831,7,1
