pred_class,p_orig,comprehensiveness,sufficiency,deletion_auc,n_words,k
0,0.8970773853518376,0.0043319258499850966,-0.04890703879003233,0.8047784180139669,8,2
0,0.8087951503629456,-0.08604681631519495,0.03555535701053225,0.7809831055042252,6,1
0,0.9439549162540756,-0.022856851220929286,0.08280864260974297,0.8629207457422812,13,3
0,0.6404225707417144,0.018377698202587833,-0.20662020325525132,0.6802920165150329,33,7
0,0.970813266946214,-0.011142211925735723,0.007376667273422455,0.8922639617448721,30,6
0,0.9249524129396165,0.0003831751614714607,-0.044529548708565514,0.8458084434564789,16,3
1,0.866085859037924,0.6679947785673965,-0.093906797964046,0.3954696540593721,15,3
0,0.9696692360473576,0.01778981551398995,0.001591363025638226,0.8765480228438869,22,4
1,0.7508804153138655,0.27073072031260864,0.42089701651416794,0.46502257351625853,21,4
0,0.8781107473070464,-0.07071079850949502,-0.03403274196838002,0.8497781861142311,10,2
0,0.9940380696918611,-0.0025694193993357484,0.04531148203935742,0.9048812500669619,16,3
0,0.5045865150850329,-0.14248837535860504,-0.33325178650131826,0.5326459177175772,47,9
1,0.5470219500365623,-0.042582440223516094,0.5401709271054513,0.33947197625802583,16,3
0,0.7829721511947209,-0.12079626031855828,0.04815358361358113,0.8135684939283816,18,4
1,0.7483428918607956,0.41685153250407764,-0.1298740700205323,0.3079150274245583,32,6
0,0.8789629579430538,0.036274901299462314,-0.05033112976754717,0.7861303455128297,47,9
0,0.8984991031736079,-0.03295293002268107,-0.07826607889072124,0.8047898475587658,19,4
0,0.8212870135643058,-0.08709506043897952,-0.06652326952986531,0.8029911526622264,17,3
0,0.8432866440856537,0.13048599456690368,-0.14961231034251887,0.6723043839242769,9,2
0,0.718702339890334,-0.19151397143623794,-0.24404640837299973,0.7508639081018577,7,1
0,0.8864138434987685,-0.031358015055937605,-0.03818184998327967,0.8288677581863876,89,18
0,0.8721773338355325,-0.09673794778263911,-0.05961068760872634,0.841555823062793,6,1
1,0.9928912799609747,0.016443863251733082,0.341066120355046,0.8912523271529792,11,2
1,0.6351529106098514,-0.14242008202142542,0.5650673852128665,0.6328903165265116,12,2
0,0.9791931847345685,0.034360308408587614,-0.019054751158928518,0.8741878496161981,5,1
1,0.6960633997621629,-0.17791026124552378,0.6720968789154165,0.4925504406788164,14,3
1,0.7769293941488674,-0.05883718377218128,0.7574521811536372,0.7378557106131484,5,1
1,0.5228396727588903,0.301583689261527,-0.17826458023433533,0.2360863682829545,8,2
0,0.9169181153769195,0.01240712741053629,-0.048710819132120386,0.8306683813143166,10,2
0,0.9706094073454443,-0.0032439891950492017,-0.02615359129881767,0.8788745220448063,11,2
0,0.988023770053217,0.009296264244612273,0.002077915040586409,0.8940530615965495,7,1
0,0.7800690142251423,0.022806987146606117,-0.1250827305975657,0.6810367886389957,49,10
0,0.9839968097450822,-0.0028060607664723847,0.023074012541847377,0.8957694511910034,22,4
0,0.9995628447649153,-0.00013622886508812826,0.016991668369488178,0.9087457499266677,24,5
0,0.9708493526388539,-0.006831192985711776,0.013367636083158718,0.8861264425606964,5,1
0,0.9880686826804878,0.008991862772731674,-0.0008258101062437184,0.892483114558054,12,2
0,0.7724577982584561,0.07037654148740802,-0.21463912964565368,0.6651093747206894,7,1
0,0.878875593737079,-0.04494496267906822,-0.023802418218872745,0.8186268721267715,9,2
0,0.9938493810005964,0.009602170541837318,0.00013096313757188227,0.8942020216690945,18,4
0,0.8251402762274815,-0.07745319266370643,-0.1034221527199164,0.7963597590433217,8,2
1,0.8153933814510905,0.11013548924487016,0.3505025680145752,0.615647106349965,22,4
0,0.9434755828588277,0.006941352265446343,-0.03803162541797944,0.8527558500568101,5,1
0,0.9771975223095972,-0.0016845232619232542,0.007534815093977243,0.8895026462126481,6,1
0,0.982545105136653,-0.0012264935519316067,0.055722429371769966,0.894359405393379,6,1
0,0.9886965312312306,-0.00030759601537933,0.010109755178923097,0.9012063094207815,26,5
0,0.8816011861979476,-0.05440830442006761,-0.0676067151291444,0.8264706538278712,7,1
0,0.9557187038623569,0.0098719682385221,-0.029924344108708922,0.8659601413514539,11,2
0,0.6807294654926406,-0.13242991236352353,-0.15601000538808085,0.7196121866729895,19,4
0,0.9872405191179683,0.00654758445018222,-0.00436027179496723,0.8941129544332272,14,3
0,0.9960840306555431,0.003970345414830767,0.00026151595274503947,0.8988627943557634,19,4
0,0.9921047518466996,-0.003223233148537674,0.02589200049609308,0.9042968913169738,9,2
0,0.9862227164373969,0.010801787830717946,0.05284361941087046,0.8887610565507417,8,2
0,0.9355872693759224,0.029305221916151036,-0.026144208369003108,0.8400986855853056,10,2
0,0.9833964868709479,-0.008247266971453393,0.026773696902984145,0.8980191938394249,17,3
0,0.8509742157034176,0.04087403561950875,-0.1371643854430119,0.6604840885832147,16,3
0,0.9717684194873486,0.014254061091510506,-0.020381685806696193,0.8753136802419249,9,2
0,0.911428384779272,0.012997348410314746,-0.07497294698227663,0.8216370311300374,7,1
0,0.9868477375319508,-0.0035135233326107906,0.02571572670557498,0.8990599881163117,7,1
0,0.9283473144126916,-0.003168367283114981,-0.03932339465643997,0.8463511966088236,8,2
0,0.9853432336626088,0.0031328504151918457,0.015763113523499572,0.8912170345954427,16,3
0,0.611806120072938,0.00881427360935183,-0.3204690814178047,0.5156407131727794,10,2
0,0.9615018241468333,-0.00868288571610798,-0.004980679696017232,0.8761997580086817,11,2
1,0.6062307569940109,-0.03674517568150948,0.549520456077314,0.5848114835693372,17,3
0,0.9925796243226522,-0.0006679865225934778,0.0013652752502447685,0.9025474688875981,6,1
0,0.9395417215448051,-0.030381213326071688,0.37318771425606256,0.8696903172694735,6,1
0,0.6862170916912108,0.026084941684659357,-0.28215462779178513,0.6330950429267201,11,2
1,0.8154554593376356,0.4135635728163004,0.28220235260686255,0.5148879864413224,8,2
0,0.9489810099299247,-0.027544056010480045,-0.010814601158691262,0.8600323364620721,9,2
0,0.9918605264943574,0.0003102747490117963,0.012312541670842059,0.9015363497954872,5,1
0,0.9674603891854512,0.05575373107824033,-0.023735968840122856,0.8431616587679982,15,3
0,0.9839198998004183,0.0005108747815145698,-0.0015127908513632438,0.8945833994966488,9,2
0,0.9957845462475304,0.0027479743669944767,0.0006784513972606376,0.903949298077504,5,1
0,0.7662771599630727,-0.040978864261358106,-0.2019728598723297,0.7602588386026397,8,2
0,0.9261975317556591,-0.03724540009688171,0.08862275128112818,0.846072350754186,12,2
0,0.6862157485279382,-0.055635948779887645,-0.2572433339792296,0.6916237227756772,13,3
0,0.9676234237578373,0.08753133615752573,-0.030848363226591347,0.8297391318642976,13,3
0,0.5386716728583719,0.2659603626619479,-0.4006293200995038,0.3883226577354643,11,2
0,0.9910416993302268,0.0026806124866762815,-0.0036974331636173696,0.8971679923849667,26,5
0,0.9471749849121811,-0.004453694612764014,-0.012913607773348712,0.8639535799291963,6,1
0,0.9447606793678527,-0.009199540760905789,-0.038308501868803524,0.8634525365768926,6,1
0,0.979006539536191,-0.0051165958890635466,0.030342159395259416,0.8923001241876034,5,1
0,0.9572217435431155,0.007401642070954173,-0.018518085687152186,0.8564418820323454,15,3
0,0.9586933405745864,0.05813690468939847,-0.02192164217742898,0.854033257893025,30,6
0,0.9760795275809953,0.008052017949595869,-0.012729049329155528,0.8833568213688388,7,1
0,0.9748833368598293,0.03079345996113536,-0.020881028455086215,0.8694292355723078,8,2
0,0.9270177180707482,-0.05769759726307333,0.004629535221983616,0.8781720889439736,9,2
0,0.9676931076485092,-0.01586361822366089,-0.026732396634510658,0.8873031750641673,5,1
0,0.9769899791495683,0.015536850262714563,-0.013726608969957144,0.8809096291407074,7,1
0,0.7752491694890361,-0.010947148142186558,-0.14005950102386078,0.6728021504120277,14,3
0,0.9247119753305781,-0.001544325785278411,0.0035020090631818768,0.8481630222192876,8,2
0,0.9876402550305742,-0.0025209766988875115,0.0015067448431137498,0.8950244224086837,16,3
0,0.9187076599775198,-0.02105326920051076,0.20806885134300668,0.8464480238951487,5,1
0,0.9868418749163773,0.006498548561056694,-0.005810027623375569,0.8939959394067206,7,1
0,0.9342290801750296,-0.043104753964700815,0.007977368678943164,0.8674594657962093,8,2
0,0.8596423022808795,-0.06595382438343955,0.01614316865465426,0.8229547042798699,46,9
0,0.9350234336648429,-0.007764206183922151,-0.04027706472479187,0.8534467003292557,7,1
0,0.6703332597994729,0.009857558379190667,-0.27271870287622846,0.6612529856274048,28,6
0,0.9975644818246019,0.0046470465223819035,-0.00038984068143543826,0.9038538106405789,7,1
0,0.9489133974581676,-0.01720263964692148,0.0029004750362607856,0.8735678617941987,15,3
0,0.9840341371680827,-0.002356670588678389,0.09116350251486427,0.8955809703383589,6,1
