model,train_variant,test_set,seed,tag,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_not_hate,f1_hate
banglabert,aug_dia,augmented,42,full,5028,0.911296738265712,0.9112667677186409,0.9118916260154356,0.9112602184850407,0.9113303937498601,0.9130604288499026,0.9094600081201787
banglabert,aug_dia,augmented,43,full,5028,0.9091089896579156,0.909132831038069,0.909754900966502,0.9090765308421942,0.9091434985041036,0.9107944563732188,0.9073586053111696
banglabert,aug_dia,augmented,44,full,5028,0.911296738265712,0.9110657069092277,0.9114568015171952,0.9112090599315326,0.9113178254600083,0.9139992286926341,0.9084188911704312
banglabert,aug_dia,bidwesh_barishal,42,full,1439,0.9117442668519805,0.9125950138289848,0.9122218829831226,0.9117381290335979,0.9117243189422368,0.9110021023125437,0.912474155754652
banglabert,aug_dia,bidwesh_barishal,43,full,1439,0.9089645587213343,0.910290809550912,0.9095455441373685,0.9089469700592323,0.9089232253653948,0.9076814658210007,0.910212474297464
banglabert,aug_dia,bidwesh_barishal,44,full,1439,0.911049339819319,0.9112175623251573,0.9113049712269419,0.9110482658970703,0.9110540650772129,0.9113573407202216,0.9107391910739191
banglabert,aug_dia,bidwesh_chittagong,42,full,1494,0.8781793842034806,0.878715571311699,0.8783083385903538,0.8781575489909645,0.8781466313847064,0.8765264586160109,0.8797886393659181
banglabert,aug_dia,bidwesh_chittagong,43,full,1494,0.8788487282463187,0.8793478319367529,0.8789732322073751,0.8788291305857707,0.8788188160275877,0.8772881355932204,0.8803701255783212
banglabert,aug_dia,bidwesh_chittagong,44,full,1494,0.8815261044176707,0.8816670701202292,0.8814625508975168,0.8814980190516991,0.8815102300803824,0.8833223467369808,0.8796736913664174
banglabert,aug_dia,bidwesh_heldout,42,full,4408,0.8951905626134301,0.8964679988243724,0.8954835899044951,0.8951468523605056,0.8951254829035203,0.8930060213061602,0.897287683414851
banglabert,aug_dia,bidwesh_heldout,43,full,4408,0.8933756805807622,0.8950917649547787,0.8937138212426592,0.8933092406754761,0.8932826647133616,0.8906468124709167,0.8959716688800354
banglabert,aug_dia,bidwesh_heldout,44,full,4408,0.9001814882032668,0.9002205262325753,0.9002485417320345,0.9001809744789135,0.9001832348660679,0.9004074241738343,0.8999545247839927
