model,train_variant,seed,tag,f1_clean,f1_augmented,drop_augmented,f1_bidwesh_heldout,drop_bidwesh_heldout,f1_bidwesh_chittagong,drop_bidwesh_chittagong,f1_bidwesh_noakhali,drop_bidwesh_noakhali,f1_bidwesh_barishal,drop_bidwesh_barishal
banglabert,aug_dia,42,full,0.9242,0.9113,0.013,0.8951,0.0291,0.8782,0.0461,0.8961,0.0281,0.9117,0.0125
banglabert,aug_dia,43,full,0.9232,0.9091,0.0141,0.8933,0.0299,0.8788,0.0444,0.8926,0.0306,0.9089,0.0143
banglabert,aug_dia,44,full,0.925,0.9112,0.0138,0.9002,0.0248,0.8815,0.0435,0.9085,0.0165,0.911,0.0139
banglabert,augmented,42,full,0.9244,0.9089,0.0155,0.8859,0.0385,0.8506,0.0738,0.8947,0.0297,0.9131,0.0113
banglabert,augmented,43,full,0.925,0.9156,0.0094,0.8902,0.0348,0.8557,0.0693,0.901,0.024,0.9145,0.0104
banglabert,augmented,44,full,0.926,0.9123,0.0137,0.8868,0.0392,0.8559,0.0701,0.8982,0.0278,0.9069,0.0191
banglabert,clean,42,full,0.923,0.9052,0.0178,0.8804,0.0425,0.8358,0.0872,0.8901,0.0329,0.9166,0.0064
banglabert,clean,43,full,0.9239,0.9045,0.0194,0.878,0.0459,0.83,0.0939,0.8949,0.029,0.9096,0.0143
banglabert,clean,44,full,0.9248,0.9057,0.0191,0.8826,0.0421,0.8366,0.0882,0.8996,0.0251,0.9124,0.0124
banglabert,dialect,42,full,0.9264,0.9094,0.017,0.8933,0.0331,0.8673,0.0591,0.8934,0.033,0.9201,0.0063
banglabert,dialect,43,full,0.9246,0.9044,0.0202,0.898,0.0266,0.884,0.0407,0.9017,0.023,0.9089,0.0158
banglabert,dialect,44,full,0.9238,0.9083,0.0155,0.8972,0.0265,0.8762,0.0476,0.9037,0.0201,0.9124,0.0113
banglabert-adapt1000,augmented,42,full,0.925,0.9085,0.0165,0.8913,0.0337,0.8634,0.0615,0.8982,0.0268,0.9131,0.0119
banglabert-adapt1000,augmented,43,full,0.9272,0.9154,0.0118,0.8861,0.0411,0.8621,0.0651,0.892,0.0352,0.9048,0.0224
banglabert-adapt1000,augmented,44,full,0.926,0.9136,0.0124,0.8897,0.0362,0.8601,0.0659,0.8989,0.0271,0.911,0.0149
banglabert-adapt250,augmented,42,full,0.9246,0.9071,0.0175,0.8838,0.0408,0.8521,0.0726,0.8926,0.032,0.9076,0.0171
banglabert-adapt250,augmented,43,full,0.9242,0.918,0.0062,0.8857,0.0386,0.8526,0.0716,0.8968,0.0274,0.9083,0.0159
banglabert-adapt250,augmented,44,full,0.921,0.9053,0.0157,0.8843,0.0368,0.8527,0.0683,0.8926,0.0284,0.9083,0.0128
banglabert-adapt500,augmented,42,full,0.9254,0.9111,0.0143,0.8875,0.0379,0.8573,0.0681,0.8947,0.0307,0.911,0.0144
banglabert-adapt500,augmented,43,full,0.9222,0.9168,0.0054,0.8852,0.037,0.856,0.0662,0.8919,0.0303,0.9083,0.014
banglabert-adapt500,augmented,44,full,0.9263,0.9109,0.0154,0.8873,0.039,0.847,0.0793,0.9078,0.0185,0.9075,0.0188
banglabert-adaptfull,augmented,42,full,0.9317,0.9162,0.0155,0.9013,0.0304,0.8842,0.0475,0.9043,0.0274,0.9159,0.0158
banglabert-adaptfull,augmented,43,full,0.9323,0.9185,0.0138,0.9015,0.0307,0.8902,0.0421,0.9003,0.032,0.9145,0.0178
banglabert-adaptfull,augmented,44,full,0.931,0.9168,0.0141,0.9002,0.0308,0.8876,0.0434,0.9037,0.0273,0.9097,0.0213
banglabert-nct,clean,42,full,0.9188,0.9074,0.0114,0.877,0.0417,0.8318,0.087,0.8948,0.024,0.9055,0.0133
banglabert-nct,clean,43,full,0.9252,0.9186,0.0066,0.8831,0.0421,0.8467,0.0785,0.894,0.0312,0.9097,0.0155
banglabert-nct,clean,44,full,0.9232,0.9155,0.0078,0.8865,0.0367,0.8467,0.0765,0.9036,0.0197,0.9104,0.0129
banglabert-nct_smoke,clean,42,smoke,0.3908,0.4225,-0.0317,0.4158,-0.025,0.4669,-0.0761,0.3538,0.037,0.4081,-0.0173
locktest_smoke,clean,42,smoke,0.7333,,,,,,,,,,
majority,clean,42,full,0.3419,0.3419,0.0,0.3355,0.0063,0.3348,0.0071,0.3344,0.0075,0.3375,0.0044
muril-base-cased,augmented,42,full,0.9224,0.9079,0.0145,0.8761,0.0463,0.8246,0.0978,0.8975,0.0249,0.9069,0.0155
muril-base-cased,augmented,43,full,0.9178,0.9047,0.0131,0.877,0.0408,0.8397,0.0781,0.89,0.0278,0.902,0.0158
muril-base-cased,augmented,44,full,0.922,0.9097,0.0123,0.8809,0.0411,0.8398,0.0822,0.8968,0.0252,0.9069,0.0151
muril-base-cased,clean,42,full,0.9138,0.8947,0.0192,0.868,0.0459,0.8238,0.0901,0.8812,0.0326,0.8999,0.0139
muril-base-cased,clean,43,full,0.9154,0.8961,0.0194,0.873,0.0425,0.8337,0.0817,0.888,0.0274,0.8978,0.0176
muril-base-cased,clean,44,full,0.9184,0.8982,0.0202,0.8722,0.0461,0.8244,0.094,0.8888,0.0296,0.9041,0.0143
tfidf_lr,aug_dia,42,full,0.9047,0.8892,0.0154,0.8782,0.0265,0.8614,0.0433,0.8779,0.0267,0.8957,0.009
tfidf_lr,aug_dia,43,full,0.9047,0.8892,0.0154,0.8782,0.0265,0.8614,0.0433,0.8779,0.0267,0.8957,0.009
tfidf_lr,aug_dia,44,full,0.9047,0.8892,0.0154,0.8782,0.0265,0.8614,0.0433,0.8779,0.0267,0.8957,0.009
tfidf_lr,augmented,42,full,0.905,0.8926,0.0124,0.8631,0.0419,0.8328,0.0723,0.863,0.042,0.8943,0.0108
tfidf_lr,augmented,43,full,0.905,0.8926,0.0124,0.8631,0.0419,0.8328,0.0723,0.863,0.042,0.8943,0.0108
tfidf_lr,augmented,44,full,0.905,0.8926,0.0124,0.8631,0.0419,0.8328,0.0723,0.863,0.042,0.8943,0.0108
tfidf_lr,clean,42,full,0.9036,0.8796,0.024,0.8538,0.0498,0.815,0.0886,0.8617,0.0419,0.8853,0.0183
tfidf_lr,clean,43,full,0.9036,0.8796,0.024,0.8538,0.0498,0.815,0.0886,0.8617,0.0419,0.8853,0.0183
tfidf_lr,clean,44,full,0.9036,0.8796,0.024,0.8538,0.0498,0.815,0.0886,0.8617,0.0419,0.8853,0.0183
tfidf_lr,dialect,42,full,0.9039,0.8835,0.0204,0.8779,0.026,0.8586,0.0452,0.8807,0.0232,0.8949,0.0089
tfidf_lr,dialect,43,full,0.9039,0.8835,0.0204,0.8779,0.026,0.8586,0.0452,0.8807,0.0232,0.8949,0.0089
tfidf_lr,dialect,44,full,0.9039,0.8835,0.0204,0.8779,0.026,0.8586,0.0452,0.8807,0.0232,0.8949,0.0089
tfidf_svm,aug_dia,42,full,0.8996,0.8874,0.0122,0.8675,0.0321,0.8514,0.0482,0.8671,0.0325,0.8846,0.015
tfidf_svm,aug_dia,43,full,0.8996,0.8874,0.0122,0.8675,0.0321,0.8514,0.0482,0.8671,0.0325,0.8846,0.015
tfidf_svm,aug_dia,44,full,0.8996,0.8874,0.0122,0.8675,0.0321,0.8514,0.0482,0.8671,0.0325,0.8846,0.015
tfidf_svm,augmented,42,full,0.901,0.8816,0.0194,0.851,0.05,0.8177,0.0833,0.8527,0.0483,0.8833,0.0177
tfidf_svm,augmented,43,full,0.901,0.8816,0.0194,0.851,0.05,0.8177,0.0833,0.8527,0.0483,0.8833,0.0177
tfidf_svm,augmented,44,full,0.901,0.8816,0.0194,0.851,0.05,0.8177,0.0833,0.8527,0.0483,0.8833,0.0177
tfidf_svm,clean,42,full,0.9014,0.8771,0.0242,0.8447,0.0567,0.8077,0.0937,0.8495,0.0519,0.8776,0.0238
tfidf_svm,clean,43,full,0.9014,0.8771,0.0242,0.8447,0.0567,0.8077,0.0937,0.8495,0.0519,0.8776,0.0238
tfidf_svm,clean,44,full,0.9014,0.8771,0.0242,0.8447,0.0567,0.8077,0.0937,0.8495,0.0519,0.8776,0.0238
tfidf_svm,dialect,42,full,0.9004,0.8781,0.0223,0.8614,0.039,0.8427,0.0577,0.8603,0.0401,0.8818,0.0186
tfidf_svm,dialect,43,full,0.9004,0.8781,0.0223,0.8614,0.039,0.8427,0.0577,0.8603,0.0401,0.8818,0.0186
tfidf_svm,dialect,44,full,0.9004,0.8781,0.0223,0.8614,0.039,0.8427,0.0577,0.8603,0.0401,0.8818,0.0186
tiny-random-electraforsequenceclassification_smoke,clean,42,smoke,0.3473,0.3473,0.0,0.3377,0.0095,0.3498,-0.0026,0.318,0.0293,0.3427,0.0045
tiny-random-electraforsequenceclassification_smoke-adapt50,clean,42,smoke,0.3473,0.3473,0.0,0.3377,0.0095,0.3498,-0.0026,0.318,0.0293,0.3427,0.0045
xlm-roberta-base,aug_dia,42,full,0.9131,0.9037,0.0094,0.8924,0.0206,0.8661,0.047,0.9036,0.0095,0.9083,0.0048
xlm-roberta-base,aug_dia,43,full,0.9166,0.9045,0.0121,0.8863,0.0304,0.862,0.0546,0.8927,0.024,0.9048,0.0119
xlm-roberta-base,aug_dia,44,full,0.9159,0.9053,0.0106,0.8906,0.0252,0.8721,0.0437,0.8913,0.0245,0.909,0.0069
xlm-roberta-base,augmented,42,full,0.9107,0.9031,0.0076,0.8788,0.0319,0.8447,0.066,0.888,0.0227,0.9048,0.0059
xlm-roberta-base,augmented,43,full,0.9154,0.9073,0.0082,0.8843,0.0311,0.8487,0.0667,0.9023,0.0132,0.9027,0.0127
xlm-roberta-base,augmented,44,full,0.9143,0.9037,0.0106,0.8763,0.038,0.842,0.0723,0.8906,0.0236,0.8971,0.0171
xlm-roberta-base,clean,42,full,0.9109,0.895,0.016,0.8643,0.0466,0.8246,0.0863,0.8772,0.0338,0.8923,0.0187
xlm-roberta-base,clean,43,full,0.9093,0.8948,0.0145,0.8682,0.0411,0.8293,0.08,0.8825,0.0268,0.8937,0.0156
xlm-roberta-base,clean,44,full,0.9093,0.8967,0.0125,0.8698,0.0395,0.83,0.0793,0.8839,0.0254,0.8964,0.0128
