model,train_variant,test_set,n_seeds,n_examples,f1_macro_mean,f1_macro_std,f1_ci95_lo,f1_ci95_hi,accuracy_mean
tfidf_lr,augmented,augmented,3,5028,0.8926,0.0,0.8838,0.9013,0.893
tfidf_lr,aug_dia,augmented,3,5028,0.8892,0.0,0.88,0.8981,0.8896
tfidf_svm,aug_dia,augmented,3,5028,0.8874,0.0,0.8786,0.896,0.8876
tfidf_lr,dialect,augmented,3,5028,0.8835,0.0,0.8743,0.8929,0.884
tfidf_svm,augmented,augmented,3,5028,0.8816,0.0,0.8726,0.8906,0.8819
tfidf_lr,clean,augmented,3,5028,0.8796,0.0,0.8703,0.8892,0.8803
tfidf_svm,dialect,augmented,3,5028,0.8781,0.0,0.8688,0.887,0.8785
tfidf_svm,clean,augmented,3,5028,0.8771,0.0,0.8679,0.8867,0.8779
majority,clean,augmented,1,5028,0.3419,0.0,0.3356,0.3478,0.5195
tfidf_lr,aug_dia,bidwesh_heldout,3,4408,0.8782,0.0,0.8684,0.8879,0.8782
tfidf_lr,dialect,bidwesh_heldout,3,4408,0.8779,0.0,0.8686,0.8883,0.8779
tfidf_svm,aug_dia,bidwesh_heldout,3,4408,0.8675,0.0,0.8573,0.8777,0.8675
tfidf_lr,augmented,bidwesh_heldout,3,4408,0.8631,0.0,0.853,0.8729,0.8632
tfidf_svm,dialect,bidwesh_heldout,3,4408,0.8614,0.0,0.8511,0.8722,0.8614
tfidf_lr,clean,bidwesh_heldout,3,4408,0.8538,0.0,0.8434,0.8643,0.8539
tfidf_svm,augmented,bidwesh_heldout,3,4408,0.851,0.0,0.8405,0.8609,0.851
tfidf_svm,clean,bidwesh_heldout,3,4408,0.8447,0.0,0.8341,0.8555,0.8448
majority,clean,bidwesh_heldout,1,4408,0.3355,0.0,0.329,0.3416,0.505
tfidf_lr,augmented,clean,3,5028,0.905,0.0,0.8967,0.9132,0.9053
tfidf_lr,aug_dia,clean,3,5028,0.9047,0.0,0.8964,0.9127,0.9049
tfidf_lr,dialect,clean,3,5028,0.9039,0.0,0.8951,0.9116,0.9041
tfidf_lr,clean,clean,3,5028,0.9036,0.0,0.8948,0.9115,0.9039
tfidf_svm,clean,clean,3,5028,0.9014,0.0,0.8927,0.9094,0.9018
tfidf_svm,augmented,clean,3,5028,0.901,0.0,0.8925,0.9092,0.9012
tfidf_svm,dialect,clean,3,5028,0.9004,0.0,0.8916,0.9085,0.9006
tfidf_svm,aug_dia,clean,3,5028,0.8996,0.0,0.8906,0.9075,0.8998
majority,clean,clean,1,5028,0.3419,0.0,0.3356,0.3478,0.5195
